name,address,phone,website
Farmácia Pague Menos,"Av. Barão do Rio Branco, 3016 - Centro, Juiz de Fora - MG, 36016-311",4002-8282,https://www.paguemenos.com.br/?utm_source=google&utm_medium=website&utm_campaign=youmap,
Drogasil,"Av. Presidente Itamar Franco, 2486 - 2496 - São Mateus, Juiz de Fora - MG, 36025-290",(32) 99924-8841,"https://www.google.com.br/storefront/homepage?sfr=compass&lsf=seller:101102545,store:254508777891721480,s:l&hl=pt&gl=br&sts=13",
Drogasil,"Av. Barão do Rio Branco, 3950 - Loja A - Passos, Juiz de Fora - MG, 36021-630",(32) 99835-9836,"https://www.google.com.br/storefront/homepage?sfr=compass&lsf=seller:101102545,store:14197163949688740958,s:l&hl=pt&gl=br&sts=13",
Drogarias Pacheco,"AV PRESIDENTE ITAMAR FRANCO 2010 PARTE, Av. Presidente Itamar Franco, 2010 - São Mateus, Juiz de Fora - MG, 36025-290",(32) 3232-1015,https://www.drogariaspacheco.com.br/,
DROGARIAS PACHECO,"Av. Dr. Paulo Japiassú Coelho, 557 - Cascatinha, Juiz de Fora - MG, 36033-310",(32) 3026-6710,https://www.drogariaspacheco.com.br/,
Drogaria Araujo,"Av. Dr. Paulo Japiassú Coelho, 533 - Cascatinha, Juiz de Fora - MG, 36033-310",0300 313 1010,https://www.araujo.com.br/,
